source_label_series_key,family_series_key,universe_id,canonical_group,canonical_brand_family,canonical_brand_key,source_brand_label,canonical_sector,canonical_category,canonical_subcategory,source_subcategory_id,metric,unit,geography,methodology_cluster,methodology_status,attribution_scope,ownership_support_status,identity_continuity_treatment,available_period_count,observed_period_count,first_observed_period,last_observed_period,observed_periods,maximum_consecutive_observed_periods,consistency_eligibility,momentum_eligibility,persistence_follow_up_series_candidate,eligibility_exclusion_reason,methodology_caveat
AU014|TOP White Coffee|10|TBI|percent_index_points|Indonesia|top_brand_current_documented,wings_group__top_coffee|10|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU014,Wings Group,TOP Coffee,wings_group__top_coffee,TOP White Coffee,Beverages,Coffee,White Coffee,10,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU014|TOP White Coffee|10|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,wings_group__top_coffee|10|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU014,Wings Group,TOP Coffee,wings_group__top_coffee,TOP White Coffee,Beverages,Coffee,White Coffee,10,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,4,2022,2025,2022;2023;2024;2025,4,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
AU015|KOPIKO L.A. White|10|TBI|percent_index_points|Indonesia|top_brand_current_documented,mayora__kopiko|10|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU015,Mayora,Kopiko,mayora__kopiko,KOPIKO L.A. White,Beverages,Coffee,White Coffee,10,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU015|KOPIKO L.A. White|10|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,mayora__kopiko|10|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU015,Mayora,Kopiko,mayora__kopiko,KOPIKO L.A. White,Beverages,Coffee,White Coffee,10,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,1,2025,2025,2025,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Historical Top Brand methodology is not independently verified.
AU016|Sedaap|40|TBI|percent_index_points|Indonesia|top_brand_current_documented,wings_group__sedaap|40|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU016,Wings Group,Sedaap,wings_group__sedaap,Sedaap,Food,Seasonings and Condiments,Sweet Soy Sauce,40,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU016|Sedaap|40|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,wings_group__sedaap|40|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU016,Wings Group,Sedaap,wings_group__sedaap,Sedaap,Food,Seasonings and Condiments,Sweet Soy Sauce,40,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,4,2022,2025,2022;2023;2024;2025,4,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
AU017|Indofood|40|TBI|percent_index_points|Indonesia|top_brand_current_documented,indofood__indofood|40|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU017,Indofood,Indofood,indofood__indofood,Indofood,Food,Seasonings and Condiments,Sweet Soy Sauce,40,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU017|Indofood|40|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,indofood__indofood|40|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU017,Indofood,Indofood,indofood__indofood,Indofood,Food,Seasonings and Condiments,Sweet Soy Sauce,40,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,4,2022,2025,2022;2023;2024;2025,4,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
AU018|BANGO|40|TBI|percent_index_points|Indonesia|top_brand_current_documented,unilever_indonesia__bango|40|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU018,Unilever Indonesia,Bango,unilever_indonesia__bango,BANGO,Food,Seasonings and Condiments,Sweet Soy Sauce,40,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,source_label_segment_only,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU018|BANGO|40|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,unilever_indonesia__bango|40|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU018,Unilever Indonesia,Bango,unilever_indonesia__bango,BANGO,Food,Seasonings and Condiments,Sweet Soy Sauce,40,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,source_label_segment_only,4,1,2025,2025,2025,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Historical Top Brand methodology is not independently verified.
AU018|Cap Bango|40|TBI|percent_index_points|Indonesia|top_brand_current_documented,unilever_indonesia__bango|40|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU018,Unilever Indonesia,Bango,unilever_indonesia__bango,Cap Bango,Food,Seasonings and Condiments,Sweet Soy Sauce,40,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,source_label_segment_only,1,0,,,,0,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU018|Cap Bango|40|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,unilever_indonesia__bango|40|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU018,Unilever Indonesia,Bango,unilever_indonesia__bango,Cap Bango,Food,Seasonings and Condiments,Sweet Soy Sauce,40,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,source_label_segment_only,4,3,2022,2024,2022;2023;2024,3,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
AU019|NUVO|274|TBI|percent_index_points|Indonesia|top_brand_current_documented,wings_group__nuvo|274|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU019,Wings Group,Nuvo,wings_group__nuvo,NUVO,Personal Care,Bath and Body,Antiseptic Bath Soap,274,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU019|NUVO|274|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,wings_group__nuvo|274|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU019,Wings Group,Nuvo,wings_group__nuvo,NUVO,Personal Care,Bath and Body,Antiseptic Bath Soap,274,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,4,2022,2025,2022;2023;2024;2025,4,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
AU020|Lifebuoy|274|TBI|percent_index_points|Indonesia|top_brand_current_documented,unilever_indonesia__lifebuoy|274|TBI|percent_index_points|Indonesia|top_brand_current_documented,AU020,Unilever Indonesia,Lifebuoy,unilever_indonesia__lifebuoy,Lifebuoy,Personal Care,Bath and Body,Antiseptic Bath Soap,274,TBI,percent_index_points,Indonesia,top_brand_current_documented,documented,strict_control,verified_primary,single_source_label,1,1,2026,2026,2026,1,not_eligible_insufficient_periods,not_eligible_insufficient_periods,no,fewer than three consecutive observed periods,Current documented cluster is not joined to the historical cluster.
AU020|Lifebuoy|274|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,unilever_indonesia__lifebuoy|274|TBI|percent_index_points|Indonesia|top_brand_historical_unverified,AU020,Unilever Indonesia,Lifebuoy,unilever_indonesia__lifebuoy,Lifebuoy,Personal Care,Bath and Body,Antiseptic Bath Soap,274,TBI,percent_index_points,Indonesia,top_brand_historical_unverified,historical_not_verified,strict_control,verified_primary,single_source_label,4,4,2022,2025,2022;2023;2024;2025,4,eligible_with_caveat,eligible_with_caveat,yes,,Historical Top Brand methodology is not independently verified.
