observation_id,universe_id,canonical_group,source_brand_label,canonical_brand_family,canonical_brand_key,source_category,source_subcategory,source_subcategory_id,canonical_sector,canonical_category,canonical_subcategory,reference_period,geography,methodology_cluster,metric,unit,tbi_value,focal_observed_position,focal_observed_brand_count,category_eligible_target_count,category_pending_ownership_target_count,category_observable_target_count,category_observed_target_count,category_explicit_not_available_target_count,category_not_observed_target_count,category_distinct_eligible_groups,category_denominator_status,leadership_eligible,comparison_scope,position_semantics
STD_TBG018_2026,AU020,Unilever Indonesia,Lifebuoy,Lifebuoy,unilever_indonesia__lifebuoy,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,43.5,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG017_2026,AU019,Wings Group,NUVO,Nuvo,wings_group__nuvo,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,9.1,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG018_2022,AU020,Unilever Indonesia,Lifebuoy,Lifebuoy,unilever_indonesia__lifebuoy,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,40.0,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG017_2022,AU019,Wings Group,NUVO,Nuvo,wings_group__nuvo,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,9.9,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG018_2023,AU020,Unilever Indonesia,Lifebuoy,Lifebuoy,unilever_indonesia__lifebuoy,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,38.7,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG017_2023,AU019,Wings Group,NUVO,Nuvo,wings_group__nuvo,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,11.0,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG018_2024,AU020,Unilever Indonesia,Lifebuoy,Lifebuoy,unilever_indonesia__lifebuoy,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,32.8,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG017_2024,AU019,Wings Group,NUVO,Nuvo,wings_group__nuvo,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,7.1,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG018_2025,AU020,Unilever Indonesia,Lifebuoy,Lifebuoy,unilever_indonesia__lifebuoy,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,38.2,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG017_2025,AU019,Wings Group,NUVO,Nuvo,wings_group__nuvo,Perawatan Pribadi,SABUN MANDI ANTISEPTIK,274,Personal Care,Bath and Body,Antiseptic Bath Soap,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,6.8,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG002_2026,AU003,Indofood,Indomie,Indomie,indofood__indomie,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,71.6,1,3,5,0,3,3,0,2,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG001_2026,AU001,Wings Group,Mie Sedaap,Sedaap,wings_group__sedaap,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,14.5,2,3,5,0,3,3,0,2,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG003_2026,AU004,Indofood,Sarimi,Sarimi,indofood__sarimi,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,3.4,3,3,5,0,3,3,0,2,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG002_2022,AU003,Indofood,Indomie,Indomie,indofood__indomie,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,72.9,1,3,4,0,3,3,0,1,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG001_2022,AU001,Wings Group,Mie Sedaap,Sedaap,wings_group__sedaap,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,15.5,2,3,4,0,3,3,0,1,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG003_2022,AU004,Indofood,Sarimi,Sarimi,indofood__sarimi,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,2.6,3,3,4,0,3,3,0,1,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG002_2023,AU003,Indofood,Indomie,Indomie,indofood__indomie,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,72.5,1,3,4,0,3,3,0,1,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG001_2023,AU001,Wings Group,Mie Sedaap,Sedaap,wings_group__sedaap,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,16.2,2,3,4,0,3,3,0,1,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG003_2023,AU004,Indofood,Sarimi,Sarimi,indofood__sarimi,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,2.6,3,3,4,0,3,3,0,1,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG002_2024,AU003,Indofood,Indomie,Indomie,indofood__indomie,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,71.2,1,3,4,0,3,3,0,1,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG001_2024,AU001,Wings Group,Mie Sedaap,Sedaap,wings_group__sedaap,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,13.9,2,3,4,0,3,3,0,1,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG003_2024,AU004,Indofood,Sarimi,Sarimi,indofood__sarimi,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,2.4,3,3,4,0,3,3,0,1,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG002_2025,AU003,Indofood,Indomie,Indomie,indofood__indomie,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,73.0,1,3,4,0,3,3,0,1,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG001_2025,AU001,Wings Group,Mie Sedaap,Sedaap,wings_group__sedaap,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,11.6,2,3,4,0,3,3,0,1,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG003_2025,AU004,Indofood,Sarimi,Sarimi,indofood__sarimi,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN BAG,30,Food,Noodles,Bagged Instant Noodles,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,2.8,3,3,4,0,3,3,0,1,2,incomplete_not_observed,no,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG004_2026,AU006,Wings Group,Mie Sedaap Cup,Sedaap,wings_group__sedaap,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,60.3,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG005_2026,AU007,Indofood,POP MIE,Pop Mie,indofood__pop_mie,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,17.8,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG005_2022,AU007,Indofood,POP MIE,Pop Mie,indofood__pop_mie,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,54.2,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG004_2022,AU006,Wings Group,Mie Sedaap Cup,Sedaap,wings_group__sedaap,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,34.8,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG005_2023,AU007,Indofood,POP MIE,Pop Mie,indofood__pop_mie,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,56.1,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG004_2023,AU006,Wings Group,Mie Sedaap Cup,Sedaap,wings_group__sedaap,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2023,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,35.3,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG004_2024,AU006,Wings Group,Mie Sedaap Cup,Sedaap,wings_group__sedaap,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,59.6,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG005_2024,AU007,Indofood,POP MIE,Pop Mie,indofood__pop_mie,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2024,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,22.4,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG004_2025,AU006,Wings Group,Mie Sedaap Cup,Sedaap,wings_group__sedaap,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,56.9,1,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG005_2025,AU007,Indofood,POP MIE,Pop Mie,indofood__pop_mie,Makanan dan Minuman,MIE INSTANT DALAM KEMASAN CUP,31,Food,Noodles,Cup Instant Noodles,2025,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,24.4,2,2,2,0,2,2,0,0,2,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG016_2026,AU018,Unilever Indonesia,BANGO,Bango,unilever_indonesia__bango,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,52.7,1,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG014_2026,AU017,Indofood,Indofood,Indofood,indofood__indofood,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,4.8,2,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG013_2026,AU016,Wings Group,Sedaap,Sedaap,wings_group__sedaap,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2026,Indonesia,top_brand_current_documented,TBI,percent_index_points,3.7,3,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG015_2022,AU018,Unilever Indonesia,Cap Bango,Bango,unilever_indonesia__bango,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,58.7,1,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG013_2022,AU016,Wings Group,Sedaap,Sedaap,wings_group__sedaap,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,4.4,2,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
STD_TBG014_2022,AU017,Indofood,Indofood,Indofood,indofood__indofood,Makanan dan Minuman,KECAP MANIS,40,Food,Seasonings and Condiments,Sweet Soy Sauce,2022,Indonesia,top_brand_historical_unverified,TBI,percent_index_points,3.2,3,3,3,0,3,3,0,0,3,complete_observed,yes,focal observed brands within one category-period-methodology cluster,Derived focal-observed position; not a full-market rank and not market share.
